TS,PRECTOTCORR,WS10M,Cluster
28.28,15.01,1.45,TIDAK BERPOTENSI UPWELLING
28.06,8.16,1.99,TIDAK BERPOTENSI UPWELLING
27.69,7.12,2.34,TIDAK BERPOTENSI UPWELLING
27.86,8.86,1.53,TIDAK BERPOTENSI UPWELLING
27.48,27.6,2.93,BERPOTENSI UPWELLING
27.54,11.34,1.92,TIDAK BERPOTENSI UPWELLING
27.73,18.69,1.02,TIDAK BERPOTENSI UPWELLING
28.01,5.33,1.34,TIDAK BERPOTENSI UPWELLING
28.04,9.7,2.14,TIDAK BERPOTENSI UPWELLING
28.46,2.06,1.0,TIDAK BERPOTENSI UPWELLING
28.58,2.17,1.36,TIDAK BERPOTENSI UPWELLING
28.48,5.89,1.19,TIDAK BERPOTENSI UPWELLING
28.05,12.85,1.34,TIDAK BERPOTENSI UPWELLING
28.36,15.41,1.59,TIDAK BERPOTENSI UPWELLING
28.22,10.94,1.27,TIDAK BERPOTENSI UPWELLING
27.9,68.18,1.97,BERPOTENSI UPWELLING
27.8,6.65,1.69,TIDAK BERPOTENSI UPWELLING
27.79,6.17,1.52,TIDAK BERPOTENSI UPWELLING
27.64,9.08,2.07,TIDAK BERPOTENSI UPWELLING
27.2,20.26,2.6,TIDAK BERPOTENSI UPWELLING
27.03,44.41,3.7,BERPOTENSI UPWELLING
27.31,13.94,3.36,TIDAK BERPOTENSI UPWELLING
27.55,3.95,2.84,TIDAK BERPOTENSI UPWELLING
27.7,4.97,2.49,TIDAK BERPOTENSI UPWELLING
27.4,15.3,2.38,TIDAK BERPOTENSI UPWELLING
27.8,6.82,2.21,TIDAK BERPOTENSI UPWELLING
27.85,8.11,2.88,TIDAK BERPOTENSI UPWELLING
27.58,10.63,3.69,TIDAK BERPOTENSI UPWELLING
27.56,11.83,1.18,TIDAK BERPOTENSI UPWELLING
27.62,7.72,2.06,TIDAK BERPOTENSI UPWELLING
27.98,1.1,1.7,TIDAK BERPOTENSI UPWELLING
28.04,13.15,1.45,TIDAK BERPOTENSI UPWELLING
27.87,20.51,1.51,TIDAK BERPOTENSI UPWELLING
28.11,3.55,1.99,TIDAK BERPOTENSI UPWELLING
27.62,31.47,1.92,BERPOTENSI UPWELLING
28.12,14.41,1.96,TIDAK BERPOTENSI UPWELLING
27.48,20.15,3.79,TIDAK BERPOTENSI UPWELLING
27.41,4.88,2.06,TIDAK BERPOTENSI UPWELLING
27.85,8.73,3.54,TIDAK BERPOTENSI UPWELLING
27.27,14.2,3.56,TIDAK BERPOTENSI UPWELLING
27.37,0.46,3.58,TIDAK BERPOTENSI UPWELLING
27.53,4.08,2.6,TIDAK BERPOTENSI UPWELLING
27.5,5.57,2.97,TIDAK BERPOTENSI UPWELLING
27.52,4.26,1.28,TIDAK BERPOTENSI UPWELLING
27.47,4.27,1.74,TIDAK BERPOTENSI UPWELLING
27.32,11.94,2.4,TIDAK BERPOTENSI UPWELLING
27.51,2.92,1.54,TIDAK BERPOTENSI UPWELLING
27.69,0.75,1.43,TIDAK BERPOTENSI UPWELLING
27.64,2.73,1.13,TIDAK BERPOTENSI UPWELLING
27.49,5.92,1.81,TIDAK BERPOTENSI UPWELLING
27.3,7.72,1.89,TIDAK BERPOTENSI UPWELLING
27.47,1.91,1.28,TIDAK BERPOTENSI UPWELLING
27.62,0.64,1.82,TIDAK BERPOTENSI UPWELLING
27.41,8.66,2.19,TIDAK BERPOTENSI UPWELLING
26.68,27.73,2.59,BERPOTENSI UPWELLING
26.33,19.34,2.43,TIDAK BERPOTENSI UPWELLING
26.69,1.83,1.28,TIDAK BERPOTENSI UPWELLING
27.06,0.91,1.71,TIDAK BERPOTENSI UPWELLING
27.4,1.21,1.89,TIDAK BERPOTENSI UPWELLING
27.37,1.47,1.5,TIDAK BERPOTENSI UPWELLING
27.48,0.92,1.34,TIDAK BERPOTENSI UPWELLING
27.51,1.27,1.59,TIDAK BERPOTENSI UPWELLING
27.15,14.22,3.23,TIDAK BERPOTENSI UPWELLING
27.15,1.74,1.65,TIDAK BERPOTENSI UPWELLING
27.61,0.73,1.38,TIDAK BERPOTENSI UPWELLING
