CombinedDate,TS,PRECTOTCORR,WS10M
16/06/2020,27.42,17.02,1.92
17/06/2020,27.22,4.86,2.31
18/06/2020,27.01,5.64,2.33
19/06/2020,26.77,9.94,2.27
20/06/2020,26.72,5.12,1.82
21/06/2020,26.8,17.51,1.73
22/06/2020,26.59,18.05,2.26
23/06/2020,26.96,24.85,2.05
24/06/2020,26.87,12.32,1.89
25/06/2020,27.14,0.24,1.34
26/06/2020,27.05,0.25,1.09
27/06/2020,27.15,0.05,1.21
28/06/2020,27.43,0.15,2.04
29/06/2020,27.43,0.55,1.8
30/06/2020,27.38,4.09,1.85
1/7/2020,27.75,3,1.8
2/7/2020,27.63,3.53,1.74
3/7/2020,27.73,1.69,1.08
4/7/2020,27.52,5.51,1.76
5/7/2020,27.82,1.45,1.07
6/7/2020,27.41,5.57,2.54
7/7/2020,27.09,6.01,2.73
8/7/2020,27.17,26.12,2.6
9/7/2020,26.74,85.49,2.88
10/7/2020,27.37,8.39,1.48
11/7/2020,27.12,15.61,2.68
12/7/2020,26.73,22.49,1.94
13/07/2020,26.83,5.62,1.46
14/07/2020,27.33,0.42,1.73
15/07/2020,27.65,1.35,1.7
16/07/2020,27.77,4.85,1.81
17/07/2020,27.52,6.2,2.11
18/07/2020,27.43,14.12,2.7
19/07/2020,27.47,11.13,1.58
20/07/2020,27.88,2.38,1.62
21/07/2020,27.87,6.38,2.02
22/07/2020,26.87,106.25,4.84
23/07/2020,26.97,18.47,2.2
24/07/2020,27.48,2.38,1.12
25/07/2020,27.33,7.19,2.63
26/07/2020,26.89,10.47,3.66
27/07/2020,26.89,15.12,1.98
28/07/2020,26.74,16.52,2.27
29/07/2020,27.04,1.54,1.34
30/07/2020,26.97,3.5,2.06
31/07/2020,26.9,7.95,2.24
1/8/2020,26.85,7.31,2.62
2/8/2020,26.94,3.44,2.03
3/8/2020,27.07,7.21,2.32
4/8/2020,26.44,13.23,3.27
5/8/2020,26.82,0.62,1.6
